date,day_mean_excess,n,cum_excess
2024-01-25,-0.007153926339971879,3,-0.007153926339971879
2024-01-29,0.017501375054632926,7,0.010347448714661048
2024-01-31,-0.0246857129638669,1,-0.014338264249205854
2024-02-01,0.023638682759020962,6,0.009300418509815108
2024-02-02,0.011889741863746427,5,0.021190160373561535
2024-02-05,-0.03222699939775281,2,-0.011036839024191274
2024-02-15,-0.011810737329307708,6,-0.02284757635349898
2024-02-16,-0.059692990080265323,4,-0.08254056643376431
2024-02-19,-0.003043387909153178,8,-0.08558395434291749
2024-02-20,0.04091847900225339,3,-0.0446654753406641
2024-02-21,0.014600951390087118,7,-0.03006452395057698
2024-02-22,0.0137438307676118,9,-0.016320693182965182
2024-02-23,0.02383230600549064,9,0.007511612822525458
2024-02-26,-0.0376287456630003,10,-0.03011713284047484
2024-02-29,-0.03801487153387987,6,-0.06813200437435471
2024-03-01,-0.08366256408763967,4,-0.15179456846199438
2024-03-04,0.10320444219750935,1,-0.04859012626448503
2024-03-05,-0.10257809112416061,1,-0.15116821738864564
2024-03-06,-0.03840308501639893,5,-0.18957130240504455
2024-03-07,0.019168773869727262,1,-0.1704025285353173
2024-03-08,-0.04002418382348816,1,-0.21042671235880545
2024-03-11,0.0706658372336878,4,-0.13976087512511765
2024-03-12,0.024221222579011742,4,-0.1155396525461059
2024-03-13,0.02693355431279476,3,-0.08860609823331114
2024-03-14,-0.01503335276664991,4,-0.10363945099996105
2024-03-15,-0.0023794887200948023,6,-0.10601893972005585
2024-03-18,0.15017456131989057,7,0.044155621599834716
2024-03-19,-0.04766147143499594,4,-0.0035058498351612233
2024-03-20,-0.01600489175187142,4,-0.019510741587032643
2024-03-21,0.015343698780464623,9,-0.00416704280656802
2024-03-22,0.008471134494200524,3,0.004304091687632504
2024-03-25,0.016473426631844035,4,0.020777518319476537
2024-03-27,0.05018316450450555,2,0.07096068282398209
2024-03-28,-0.003802227695872018,1,0.06715845512811007
2024-03-29,0.005917160372433505,1,0.07307561550054358
2024-04-01,-0.003856063497431672,8,0.0692195520031119
2024-04-08,0.03777039686962502,4,0.10698994887273693
2024-04-09,0.03497918312543178,5,0.1419691319981687
2024-04-10,-0.026541902173120423,5,0.11542722982504829
2024-04-11,-0.07224583223434611,1,0.04318139759070218
2024-04-12,0.011018021434016284,4,0.05419941902471846
